/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-3] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-11-27 14:56:15:190 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-11-27 14:56:16:162 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 14:56:44:161 29 sec: 2357000 operations; 216000 current ops/sec; est completion in 15 minutes [INSERT: Count=216000, Max=13524991, Min=55264, Avg=3974248.37, 90=9134079, 99=12820479, 99.9=13524991, 99.99=13524991] 
2022-11-27 14:56:45:162 30 sec: 2548000 operations; 191000 current ops/sec; est completion in 15 minutes [INSERT: Count=191000, Max=7487487, Min=53888, Avg=2191359.75, 90=6070271, 99=7413759, 99.9=7487487, 99.99=7487487] 
2022-11-27 14:56:46:161 31 sec: 2697000 operations; 149000 current ops/sec; est completion in 14 minutes [INSERT: Count=149000, Max=6504447, Min=52896, Avg=1489423.36, 90=4632575, 99=6123519, 99.9=6504447, 99.99=6504447] 
2022-11-27 14:56:47:161 32 sec: 2782000 operations; 85000 current ops/sec; est completion in 14 minutes [INSERT: Count=85000, Max=3956735, Min=54016, Avg=575756.42, 90=2291711, 99=3956735, 99.9=3956735, 99.99=3956735] 
2022-11-27 14:56:48:161 33 sec: 2898000 operations; 116000 current ops/sec; est completion in 14 minutes [INSERT: Count=116000, Max=3770367, Min=54432, Avg=778288.14, 90=2363391, 99=3452927, 99.9=3770367, 99.99=3770367] 
2022-11-27 14:56:49:161 34 sec: 2999000 operations; 101000 current ops/sec; est completion in 14 minutes [INSERT: Count=101000, Max=975871, Min=51616, Avg=184101.39, 90=416511, 99=952319, 99.9=975871, 99.99=975871] 
2022-11-27 14:56:50:161 35 sec: 3092000 operations; 93000 current ops/sec; est completion in 14 minutes [INSERT: Count=93000, Max=771583, Min=50784, Avg=133279.83, 90=357119, 99=771583, 99.9=771583, 99.99=771583] 
2022-11-27 14:56:51:161 36 sec: 3165000 operations; 73000 current ops/sec; est completion in 14 minutes [INSERT: Count=73000, Max=571391, Min=56064, Avg=141456.66, 90=295423, 99=571391, 99.9=571391, 99.99=571391] 
2022-11-27 14:56:52:162 37 sec: 3264000 operations; 99000 current ops/sec; est completion in 14 minutes [INSERT: Count=99000, Max=936959, Min=59392, Avg=272986.51, 90=574463, 99=936959, 99.9=936959, 99.99=936959] 
2022-11-27 14:56:53:161 38 sec: 3362000 operations; 98000 current ops/sec; est completion in 14 minutes [INSERT: Count=98000, Max=807935, Min=55424, Avg=224635.92, 90=470015, 99=807935, 99.9=807935, 99.99=807935] 
2022-11-27 14:56:54:161 39 sec: 3452000 operations; 90000 current ops/sec; est completion in 14 minutes [INSERT: Count=90000, Max=446463, Min=51808, Avg=98563.02, 90=203775, 99=446463, 99.9=446463, 99.99=446463] 
2022-11-27 14:56:55:161 40 sec: 3532000 operations; 80000 current ops/sec; est completion in 14 minutes [INSERT: Count=80000, Max=488191, Min=54688, Avg=106169.8, 90=183679, 99=488191, 99.9=488191, 99.99=488191] 
2022-11-27 14:56:56:161 41 sec: 3614000 operations; 82000 current ops/sec; est completion in 14 minutes [INSERT: Count=82000, Max=808447, Min=52832, Avg=195837.46, 90=455167, 99=808447, 99.9=808447, 99.99=808447] 
